calculation_id;calculation_type;score_label;score_source_id;score_urn
MELD_scores;MELD;MELD Score;X_235_0_320;urn:osse-11:dataelement:320
MELD_Na_scores;MELD_Na;MELD-Na Score;X_235_0_321;urn:osse-11:dataelement:321
BMI_basic;BMI;BMI;X_230_0_236;urn:osse-11:dataelement:236
MAP_aclf_examination;MAP;Mean Arterial Pressure;X_224_19_69;urn:osse-11:dataelement:69
MAP_physical_examination;MAP;Mean Arterial Pressure;X_230_0_69;urn:osse-11:dataelement:69
SPO2_FIO2_ratio;SPO2_FIO2;SpO?/FiO? Ratio;X_224_20_86;urn:osse-11:dataelement:86
PAO2_FIO2_ratio;PAO2_FIO2;PaO?/FiO? Ratio;X_224_20_87;urn:osse-11:dataelement:87
Maddrey_scores;MADDREY;Maddrey's Score;X_235_0_324;urn:osse-11:dataelement:324
CLIF_C_AD_scores;CLIF_C_AD;CLIF-C AD Score;X_235_0_91;urn:osse-11:dataelement:91
CLIF_OF_scores;CLIF_OF;CLIF-OF Score;X_224_0_88;urn:osse-11:dataelement:88
