form;formid_version;form_type;record_urn;record_designation;record_mandatory;record_repeatable;dataelement_urn;dataelement_designation;dataelement_definition;dataelement_mandatory;dataelement_repeatable;data_type;data_format;unit_measure;id;form_id;form_version
ACLF evaluation;224:4;Basic;urn:osse-11:record:16:1;Liver failure;false;false;urn:osse-11:dataelement:57:1;Liver failure;Liver failure;;;enumerated;enumerated;;12;224;4
ACLF evaluation;224:4;Basic;urn:osse-11:record:16:1;Liver failure;false;false;urn:osse-11:dataelement:58:1;Total bilirubin;Total bilirubin;;;FLOAT;0<=x<=200;mg/dl;13;224;4
ACLF evaluation;224:4;Basic;urn:osse-11:record:17:1;Renal failure;false;false;urn:osse-11:dataelement:59:1;Renal failure;Renal failure;;;enumerated;enumerated;;14;224;4
ACLF evaluation;224:4;Basic;urn:osse-11:record:17:1;Renal failure;false;false;urn:osse-11:dataelement:60:1;Creatinine;Creatinine;;;FLOAT;0<=x<=200;mg/dl;15;224;4
ACLF evaluation;224:4;Basic;urn:osse-11:record:17:1;Renal failure;false;false;urn:osse-11:dataelement:61:1;Renal replacement therapy;Renal replacement therapy;;;BOOLEAN;(true|false|yes|no|f|t);;16;224;4
ACLF evaluation;224:4;Basic;urn:osse-11:record:18:1;Coagulation failure;false;false;urn:osse-11:dataelement:64:1;Coagulation failure;INR over 2.5;;;enumerated;enumerated;;17;224;4
ACLF evaluation;224:4;Basic;urn:osse-11:record:18:1;Coagulation failure;false;false;urn:osse-11:dataelement:65:1;INR;INR;;;FLOAT;0<=x<=100;;18;224;4
ACLF evaluation;224:4;Basic;urn:osse-11:record:19:1;Circulatory failure;false;false;urn:osse-11:dataelement:66:1;Circulatory failure;Circulatory failure;;;enumerated;enumerated;;21;224;4
ACLF evaluation;224:4;Basic;urn:osse-11:record:19:1;Circulatory failure;false;false;urn:osse-11:dataelement:67:1;Systolic Blood Pressure;Systolic Blood Pressure;;;INTEGER;0<=x<=300;mmHg;22;224;4
ACLF evaluation;224:4;Basic;urn:osse-11:record:19:1;Circulatory failure;false;false;urn:osse-11:dataelement:68:1;Diastolic Blood Pressure;Diastolic Blood Pressure;;;INTEGER;0<=x<=300;mmHg;23;224;4
ACLF evaluation;224:4;Basic;urn:osse-11:record:19:1;Circulatory failure;false;false;urn:osse-11:dataelement:69:1;Mean Arterial Pressure ;Formula: MAP= (2*DBP+SBP)/3;;;FLOAT;0<=x<=300;mmHg;24;224;4
ACLF evaluation;224:4;Basic;urn:osse-11:record:19:1;Circulatory failure;false;false;urn:osse-11:dataelement:70:1;Use of vasopresors (Circulatory failure indication selected);Use of vasopresors (Circulatory failure indication selected);;;enumerated;enumerated;;25;224;4
ACLF evaluation;224:4;Basic;urn:osse-11:record:20:1;Respiratory failure;false;false;urn:osse-11:dataelement:71:1;Respiratory failure;Respiratory failure;;;enumerated;enumerated;;26;224;4
