dataelement_id;dataelement_version;dataelement_urn;status;language;dataelement_designation;dataelement_definition;datatype;format;slots
368;1;urn:osse-11:dataelement:368:1;DRAFT;de;When Abx during last 3M?;When Abx during last 3M?;DATE;DD.MM.YYYY;
3;1;urn:osse-11:dataelement:3:1;RELEASED;en;Female;Sex;enumerated;enumerated;
4;1;urn:osse-11:dataelement:4:1;RELEASED;en;Consent;Patient' consent exists for participation in the studz;BOOLEAN;(true|false|yes|no|f|t);Select
5;1;urn:osse-11:dataelement:5:1;RELEASED;en;Height;Patient' body height;INTEGER;0<=x<=300;
6;1;urn:osse-11:dataelement:6:1;RELEASED;en;Known diseases;Known diseases (patient);STRING;;
7;1;urn:osse-11:dataelement:7:1;RELEASED;en;Sex;Patient's biological sex at birth;enumerated;enumerated;
8;1;urn:osse-11:dataelement:8:1;RELEASED;en;Status;Patient's status;enumerated;enumerated;SELECT_ONE_RADIO
9;1;urn:osse-11:dataelement:9:1;RELEASED;en;Recent symptoms;Symptoms within the last 4 weeks;enumerated;enumerated;SELECT_MANY_CHECKBOX
11;1;urn:osse-11:dataelement:11:1;RELEASED;en;Known diseases;Known diseases (monther);STRING;;
12;2;urn:osse-11:dataelement:12:2;RELEASED;en;Year of birth;Year of birth (nur year);INTEGER;1900<=x<=2100;
14;1;urn:osse-11:dataelement:14:1;RELEASED;en;Type of blood sample;Type of blood sample;enumerated;enumerated;SELECT_MANY_CHECKBOX
13;2;urn:osse-11:dataelement:13:2;RELEASED;en;Blood sample collection;Blood sample collection yes or no;enumerated;enumerated;SELECT_ONE_RADIO
15;1;urn:osse-11:dataelement:15:1;RELEASED;en;Collection date;Blood sample collection date;DATE;DD.MM.YYYY;
16;1;urn:osse-11:dataelement:16:1;RELEASED;en;Serum sample collected;Whether the serum sample has been collected;BOOLEAN;(true|false|yes|no|f|t);SELECT_ONE_RADIO
17;1;urn:osse-11:dataelement:17:1;RELEASED;en;Time from sample collection to aliquoting;hours from sample collection to aliquoting;enumerated;enumerated;SELECT_ONE_RADIO
18;1;urn:osse-11:dataelement:18:1;RELEASED;en;If > 2h, please provide;provide the hours after aliquoting;INTEGER;0<=x<=48;
19;1;urn:osse-11:dataelement:19:1;RELEASED;en;Time of collection;Blood sample collection time;DATETIME;DD.MM.YYYY hh:mm;
20;1;urn:osse-11:dataelement:20:1;RELEASED;en;EDTA;Plasma sample collected with EDTA;BOOLEAN;(true|false|yes|no|f|t);SELECT_ONE_RADIO
21;1;urn:osse-11:dataelement:21:1;RELEASED;en;Material collected;Material collected of plasma and buffy coat;enumerated;enumerated;SELECT_MANY_CHECKBOX
22;1;urn:osse-11:dataelement:22:1;RELEASED;en;Citrate;Plasma sample collected with Citrate;BOOLEAN;(true|false|yes|no|f|t);
23;1;urn:osse-11:dataelement:23:1;RELEASED;en;Material collected;Material collected of plasma and buffy coat;enumerated;enumerated;SELECT_MANY_CHECKBOX
24;1;urn:osse-11:dataelement:24:1;RELEASED;en;Li-heparin;Plasma sample collected with Li-heparin;BOOLEAN;(true|false|yes|no|f|t);SELECT_ONE_RADIO
25;1;urn:osse-11:dataelement:25:1;RELEASED;en;CPT tube collected (PBMC);CPT tube collected or not;BOOLEAN;(true|false|yes|no|f|t);SELECT_ONE_RADIO
26;1;urn:osse-11:dataelement:26:1;RELEASED;en;Tempus tube collected (Blood RNA);Whether tempus tube collected (Blood RNA);BOOLEAN;(true|false|yes|no|f|t);SELECT_ONE_RADIO
27;1;urn:osse-11:dataelement:27:1;RELEASED;en;Time from sample collection to storage at -80 C°;Time from sample collection to storage at -80 C° (Collection process information);enumerated;enumerated;SELECT_ONE_RADIO
28;1;urn:osse-11:dataelement:28:1;RELEASED;en;Urine sample collected;Whether urine sample collected;BOOLEAN;(true|false|yes|no|f|t);SELECT_ONE_RADIO
29;1;urn:osse-11:dataelement:29:1;RELEASED;en;Collection date;sample collection date;DATE;DD.MM.YYYY;
30;1;urn:osse-11:dataelement:30:1;RELEASED;en;According to tube type;Tube for urine samples;enumerated;enumerated;SELECT_ONE_RADIO
31;1;urn:osse-11:dataelement:31:1;RELEASED;en;Ascitic fluid collected;Whether ascitic fluid collected or not;BOOLEAN;(true|false|yes|no|f|t);SELECT_ONE_RADIO
32;1;urn:osse-11:dataelement:32:1;RELEASED;en;Stool sample collected;Whether stool sample collected;BOOLEAN;(true|false|yes|no|f|t);
33;1;urn:osse-11:dataelement:33:1;RELEASED;en;Place of stool sample collection;Place of stool sample collection;enumerated;enumerated;SELECT_ONE_RADIO
34;1;urn:osse-11:dataelement:34:1;RELEASED;en;Approximate time of stool sample collection at home;Approximate time of stool sample collection at home;TIME;hh:mm;
35;1;urn:osse-11:dataelement:35:1;RELEASED;en;Temperature of stool  stored at home;Temperature of stool  stored at home;enumerated;enumerated;SELECT_ONE_RADIO
36;1;urn:osse-11:dataelement:36:1;RELEASED;en;If > 12h, please provide;Approximate time of stool sample collection to final storage at -80 C°;INTEGER;0<=x<=100;
37;1;urn:osse-11:dataelement:37:1;RELEASED;en;Time from stool sample collection to final storage at -80 C°;Time from stool sample collection to final storage at -80 C°;enumerated;enumerated;
38;1;urn:osse-11:dataelement:38:1;RELEASED;en;Hair sample collected;Whether hair sample collected;BOOLEAN;(true|false|yes|no|f|t);SELECT_ONE_RADIO
39;1;urn:osse-11:dataelement:39:1;RELEASED;en;Saliva sample collected;Whether saliva sample collected;BOOLEAN;(true|false|yes|no|f|t);SELECT_ONE_RADIO
40;1;urn:osse-11:dataelement:40:1;RELEASED;en;Liver biopsy sample collected;Whether liver biopsy sample collected;BOOLEAN;(true|false|yes|no|f|t);SELECT_ONE_RADIO
41;1;urn:osse-11:dataelement:41:1;RELEASED;en;GI biopsy sample collected;Whether GI biopsy sample collected;BOOLEAN;(true|false|yes|no|f|t);
42;1;urn:osse-11:dataelement:42:1;RELEASED;en;Center;Name of the participating center;STRING;;
45;1;urn:osse-11:dataelement:45:1;RELEASED;en;Exclusion criteria;Exclusion criteria;enumerated;enumerated;SELECT_MANY_CHECKBOX
46;1;urn:osse-11:dataelement:46:1;RELEASED;en;Inclusion criteria;Inclusion criteria;enumerated;enumerated;SELECT_MANY_CHECKBOX
47;1;urn:osse-11:dataelement:47:1;RELEASED;en;Informed consent signed:;Informed consent signed:;enumerated;enumerated;SELECT_ONE_RADIO
48;1;urn:osse-11:dataelement:48:1;RELEASED;en;Date of informed consent signature:;Date of informed consent signature:;DATE;DD.MM.YYYY;
50;1;urn:osse-11:dataelement:50:1;RELEASED;en;If Informed consent is signed by surrogate:;- Research study under prior surrogate consent;enumerated;enumerated;SELECT_ONE_RADIO
51;1;urn:osse-11:dataelement:51:1;RELEASED;en;Date of informed consent signature by surrogate:;Date of informed consent signature by surrogate:;DATE;DD.MM.YYYY;
53;1;urn:osse-11:dataelement:53:1;RELEASED;en;Hospital admission date and time;Hospital admission date and time;DATETIME;DD.MM.YYYY hh:mm;
54;1;urn:osse-11:dataelement:54:1;RELEASED;en;Study inclusion date and time;Study inclusion date and time;DATETIME;DD.MM.YYYY hh:mm;
55;1;urn:osse-11:dataelement:55:1;RELEASED;en;Date of birth;Date of birth;DATE;DD.MM.YYYY;
56;1;urn:osse-11:dataelement:56:1;RELEASED;en;Inclusion Date;Inclusion Date;DATE;DD.MM.YYYY;
57;1;urn:osse-11:dataelement:57:1;RELEASED;en;Liver failure;Liver failure;enumerated;enumerated;SELECT_ONE_RADIO
58;1;urn:osse-11:dataelement:58:1;RELEASED;en;Total bilirubin;Total bilirubin;FLOAT;0<=x<=200;
59;1;urn:osse-11:dataelement:59:1;RELEASED;en;Renal failure;Renal failure;enumerated;enumerated;SELECT_ONE_RADIO
60;1;urn:osse-11:dataelement:60:1;RELEASED;en;Creatinine;Creatinine;FLOAT;0<=x<=200;
61;1;urn:osse-11:dataelement:61:1;RELEASED;en;Renal replacement therapy;Renal replacement therapy;BOOLEAN;(true|false|yes|no|f|t);
62;1;urn:osse-11:dataelement:62:1;RELEASED;en;Cerebral failure;West Haven grade 3 to 4;enumerated;enumerated;SELECT_ONE_RADIO
