dataelement_id;dataelement_version;dataelement_urn;pv_value;pv_language;pv_designation;pv_definition;pv_selection
3;1;urn:osse-11:dataelement:3:1;Sex;en;Male;Sex;
7;1;urn:osse-11:dataelement:7:1;Male;en;Male;Male;
7;1;urn:osse-11:dataelement:7:1;Female;en;Female;Female;
7;1;urn:osse-11:dataelement:7:1;Unknown;en;Unknown;Unknown;
8;1;urn:osse-11:dataelement:8:1;Dead;en;Dead;Dead;SELECT_ONE_RADIO
8;1;urn:osse-11:dataelement:8:1;Alive;en;Alive;Alive;SELECT_ONE_RADIO
8;1;urn:osse-11:dataelement:8:1;Lost in follow-up;en;Lost in follow-up;Lost in follow-up;SELECT_ONE_RADIO
9;1;urn:osse-11:dataelement:9:1;Ascites;en;Ascites;Ascites;SELECT_MANY_CHECKBOX
9;1;urn:osse-11:dataelement:9:1;GI bleeding;en;GI bleeding;GI bleeding;SELECT_MANY_CHECKBOX
9;1;urn:osse-11:dataelement:9:1;Bacterial infection;en;Bacterial infection;Bacterial infection;SELECT_MANY_CHECKBOX
14;1;urn:osse-11:dataelement:14:1;Peripharel venous;en;Peripharel venous;Peripharel venous;SELECT_MANY_CHECKBOX
14;1;urn:osse-11:dataelement:14:1;Central venous;en;Central venous;Central venous;SELECT_MANY_CHECKBOX
14;1;urn:osse-11:dataelement:14:1;Arterial;en;Blood from arterial;Blood from arterial;SELECT_MANY_CHECKBOX
14;1;urn:osse-11:dataelement:14:1;Other blood;en;Other blood please note;Other blood please note;SELECT_MANY_CHECKBOX
13;2;urn:osse-11:dataelement:13:2;Yes;en;Blood sample has been collected;Blood sample has been collected;SELECT_ONE_RADIO
13;2;urn:osse-11:dataelement:13:2;No;en;Blood sample has not been collected;Blood sample has not been collected;SELECT_ONE_RADIO
17;1;urn:osse-11:dataelement:17:1;less than 2h;en;aliquoting the serum equal or less than 2h;aliquoting the serum less than 2h;SELECT_ONE_RADIO
17;1;urn:osse-11:dataelement:17:1;more than 2h;en;aliquoting the serum more than 2h;aliquoting the serum more than 2h;SELECT_ONE_RADIO
21;1;urn:osse-11:dataelement:21:1;Plasma;en;Plasma collected or not;Plasma collected or not;SELECT_MANY_CHECKBOX
21;1;urn:osse-11:dataelement:21:1;Buffy coat;en;Buffy coat collected or not;Buffy coat collected or not;SELECT_MANY_CHECKBOX
23;1;urn:osse-11:dataelement:23:1;Plasma;en;Plasma collected or not;Plasma collected or not;SELECT_MANY_CHECKBOX
23;1;urn:osse-11:dataelement:23:1;Buffy coat;en;Buffy coat collected or not;Buffy coat collected or not;SELECT_MANY_CHECKBOX
27;1;urn:osse-11:dataelement:27:1;<= 2h;en;Time from sample collection to storage at -80 C° equal or less than 2h;Time from sample collection to storage at -80 C° less than 2h;SELECT_ONE_RADIO
27;1;urn:osse-11:dataelement:27:1;> 2h;en;Time from sample collection to storage at -80 C° more than 2h;Time from sample collection to storage at -80 C° more than 2h;SELECT_ONE_RADIO
30;1;urn:osse-11:dataelement:30:1;Wilmut tube;en;Wilmut tube;Wilmut tube;SELECT_ONE_RADIO
30;1;urn:osse-11:dataelement:30:1;10 mL tube;en;10 mL tube;10 mL tube;SELECT_ONE_RADIO
33;1;urn:osse-11:dataelement:33:1;Home;en;Home;Home;SELECT_ONE_RADIO
33;1;urn:osse-11:dataelement:33:1;Ward;en;Ward;Ward;SELECT_ONE_RADIO
33;1;urn:osse-11:dataelement:33:1;Out-patient clinic;en;Out-patient clinic;Out-patient clinic;SELECT_ONE_RADIO
33;1;urn:osse-11:dataelement:33:1;Others;en;Others;Others;SELECT_ONE_RADIO
35;1;urn:osse-11:dataelement:35:1;-18 C°;en;stool stored at home at -18 C° ;stool stored at home at -18 C° ;SELECT_ONE_RADIO
35;1;urn:osse-11:dataelement:35:1;4 C°;en;stool stored at home at 4 C° ;stool stored at home at 4 C° ;SELECT_ONE_RADIO
37;1;urn:osse-11:dataelement:37:1;<= 12h;en;Time from sample collection to storage at -80 C° equal or less than 12h;Time from sample collection to storage at -80 C° equal or less than 12h;
37;1;urn:osse-11:dataelement:37:1;> 12h;en;Time from sample collection to storage at -80 C° more than 12h;Time from sample collection to storage at -80 C° more than 12h;
45;1;urn:osse-11:dataelement:45:1;Patients who decline to participate or who cannot provide prior written informed consent and when there is documented evidence that the patient has no legal surrogate decision maker and it appears unlikely that the patient will regain consciousness or sufficient ability to provide delayed informed consent.;en;Patients who decline to participate or who cannot provide prior written informed consent and when there is documented evidence that the patient has no legal surrogate decision maker and it appears unlikely that the patient will regain consciousness or sufficient ability to provide delayed informed consent.;Patients who decline to participate or who cannot provide prior written informed consent and when there is documented evidence that the patient has no legal surrogate decision maker and it appears unlikely that the patient will regain consciousness or sufficient ability to provide delayed informed consent.;SELECT_MANY_CHECKBOX
