dataelement_id;dataelement_version;dataelement_urn;status;language;dataelement_designation;dataelement_definition;datatype;format;slots
922;1;urn:osse-91:dataelement:922:1;RELEASED;de;Wurde die Leukozytopenie erfolgreich behandelt?;Wurde die Leukozytopenie erfolgreich behandelt?;BOOLEAN;(true|false|yes|no|f|t);
923;1;urn:osse-91:dataelement:923:1;RELEASED;de;Wann wurde die Leukozytopenie erfolgreich behandelt?;Wann wurde die Leukozytopenie erfolgreich behandelt?;DATE;YYYY-MM-DD;
924;1;urn:osse-91:dataelement:924:1;RELEASED;de;Thrombozytopenie vorhanden? (> 150000/μl);Thrombozytopenie vorhanden? (> 150000/μl);enumerated;enumerated;
8;1;urn:osse-91:dataelement:8:1;OUTDATED;en;Jeune-Syndrome;Jeune-Syndrome;BOOLEAN;(true|false|yes|no|f|t);
9;1;urn:osse-91:dataelement:9:1;OUTDATED;de;Senior-Løken-Syndrom;Liegen Sypmtome des Senior-Løken-Syndroms vor?;BOOLEAN;(true|false|yes|no|f|t);
3;1;urn:osse-91:dataelement:3:1;OUTDATED;de;Bardet-Biedl-Syndrom (BBS);Besteht der klinische/genetisch bestätigte Verdacht auf das Vorliegen eines Bardet-Biedl-Syndrom (BBS)?;BOOLEAN;(true|false|yes|no|f|t);
12;1;urn:osse-91:dataelement:12:1;OUTDATED;en;RHYNS syndrome;RHYNS syndrome;BOOLEAN;(true|false|yes|no|f|t);
13;1;urn:osse-91:dataelement:13:1;OUTDATED;de;Anderweitige syndromale Ziliopathie;Liegen Sypmtome einer anderweitigen syndromalen Ziliopathie vor?;BOOLEAN;(true|false|yes|no|f|t);
19;1;urn:osse-91:dataelement:19:1;OUTDATED;en;other complex ciliopathies;free text for entering other complex ciliopathies;STRING;;
10;1;urn:osse-91:dataelement:10:1;OUTDATED;en;Oculomotoric apraxia Type Cogan (COMA);Oculomotoric apraxia Type Cogan (COMA);BOOLEAN;(true|false|yes|no|f|t);
1;1;urn:osse-91:dataelement:1:1;RELEASED;de;Isolierte Nephronophtise;Besteht der klinische/genetisch bestätigte Verdacht auf das Vorliegen einer isolierten Nephronophtise?;BOOLEAN;(true|false|yes|no|f|t);
26;1;urn:osse-91:dataelement:26:1;OUTDATED;de;Auffälligkeiten bei der Geburt - Spezifizieren;Welche Auffälligkeiten gab es bei der Geburt;STRING;;
42;1;urn:osse-91:dataelement:42:1;RELEASED;en;Other abnormalities during neonatal or toddler's age;"free text for ""Abnormalities during neonatal or toddler's age"" - other";STRING;;
43;1;urn:osse-91:dataelement:43:1;RELEASED;en;Abnormalities during neonatal or toddler's age;date for beginning of each symptom;DATE;YYYY-MM;
45;1;urn:osse-91:dataelement:45:1;RELEASED;en;relevant passed surgeries;free text for relevant passed surgeries;STRING;;
4;1;urn:osse-91:dataelement:4:1;OUTDATED;de;Phänotypbeschreibung isolierte Nephronophtise;Beschreibt Kardinalsymtome der Nephronophtise;enumerated;enumerated;
5;1;urn:osse-91:dataelement:5:1;OUTDATED;de;Phänotypbeschreibung HNF1β - Nephropathie;Beschreibt Kardinalsymtome der HNF1β - Nephropathie;enumerated;enumerated;
6;1;urn:osse-91:dataelement:6:1;OUTDATED;de;Phänotypbeschreibung Bardet Biedl Syndrom;Beschreibt Kardinalsymtome des Bardet Biedl Syndroms;enumerated;enumerated;
14;1;urn:osse-91:dataelement:14:1;OUTDATED;en;Phenotype description Joubert- and COACH syndrome;Phenotype description Joubert- and COACH syndrome;enumerated;enumerated;
15;1;urn:osse-91:dataelement:15:1;OUTDATED;en;Symptoms/phenotype description Senior-Løken-Syndrom;Symptoms/phenotype description Senior-Løken-Syndrom;enumerated;enumerated;
17;1;urn:osse-91:dataelement:17:1;OUTDATED;en;symptoms/phenotype description Ellis van Crefeld syndrome;symptoms/phenotype description Ellis van Crefeld syndrome;enumerated;enumerated;
20;1;urn:osse-91:dataelement:20:1;OUTDATED;en;symptoms/phenotype description Jeune syndrome;symptoms/phenotype description Jeune syndrome;enumerated;enumerated;
16;1;urn:osse-91:dataelement:16:1;OUTDATED;en;symptoms/phenotype description of oculomotoric apraxia Type Cogan (COMA);symptoms/phenotype description of oculomotoric apraxia Type Cogan (COMA);enumerated;enumerated;
18;1;urn:osse-91:dataelement:18:1;OUTDATED;en;symptoms/phenotype RHYNS-syndrome;symptoms/phenotype RHYNS-syndrome;enumerated;enumerated;
25;1;urn:osse-91:dataelement:25:1;OUTDATED;de;Auffälligkeiten bei der Geburt;organische oder klinische Auffälligkeiten bei der Geburt;enumerated;enumerated;
27;1;urn:osse-91:dataelement:27:1;OUTDATED;de;Postpartale Adaptationsschwierigkeiten;Adaptationsschwierigkeiten nach der Geburt;enumerated;enumerated;
29;1;urn:osse-91:dataelement:29:1;OUTDATED;en;Oligohydramnion;tells if mother of patient had oligohydramniond during pregnancy;enumerated;enumerated;
31;1;urn:osse-91:dataelement:31:1;OUTDATED;de;Sonographische Auffälligkeiten präpartal;gibt an, ob vor Geburt des Patienten sonographische Auffälligkeiten bestanden haben.;enumerated;enumerated;
34;1;urn:osse-91:dataelement:34:1;OUTDATED;en;Small for gestational age;was patient small for gestational age at birth?;enumerated;enumerated;
