dataelement_id;dataelement_version;dataelement_urn;pv_value;pv_language;pv_designation;pv_definition;pv_selection
924;1;urn:osse-91:dataelement:924:1;Ja;de;Ja;Ja;
924;1;urn:osse-91:dataelement:924:1;Nein;de;Nein;Nein;
924;1;urn:osse-91:dataelement:924:1;unbekannt;de;unbekannt;unbekannt;
4;1;urn:osse-91:dataelement:4:1;Polyurie;de;Polyurie/Polydipsie;Polyurie/Polydipsie;
4;1;urn:osse-91:dataelement:4:1;chronische Niereninsuffizienz;de;chronische Niereninsuffizienz;chronische Niereninsuffizienz;
4;1;urn:osse-91:dataelement:4:1;sonographisch hyperechogene Nieren mit verwaschener Mark-Rinden-Grenze;de;sonographisch hyperechogene Nieren mit verwaschener Mark-Rinden-Grenze;sonographisch hyperechogene Nieren mit verwaschener Mark-Rinden-Grenze;
4;1;urn:osse-91:dataelement:4:1;Nierenzysten;de;Nierenzysten;Nierenzysten;
5;1;urn:osse-91:dataelement:5:1;Fehlbildungen der Nieren +/- Harnwege;de;Fehlbildungen der Nieren +/- Harnwege;Fehlbildungen der Nieren +/- Harnwege;
5;1;urn:osse-91:dataelement:5:1;Genitale Fehlbildungen;de;Genitale Fehlbildungen;Genitale Fehlbildungen;
5;1;urn:osse-91:dataelement:5:1;Nierenzysten;de;Nierenzysten;Nierenzysten;
5;1;urn:osse-91:dataelement:5:1;Diabetes mellitus (MODY-Diabetes);de;Diabetes mellitus (MODY-Diabetes);Diabetes mellitus (MODY-Diabetes);
5;1;urn:osse-91:dataelement:5:1;Hyperurikämie;de;Hyperurikämie;Hyperurikämie;
5;1;urn:osse-91:dataelement:5:1;Hypomagnesiämie;de;Hypomagnesiämie;Hypomagnesiämie;
5;1;urn:osse-91:dataelement:5:1;Erhöhte Transaminasen;de;Erhöhte Transaminasen;Erhöhte Transaminasen;
5;1;urn:osse-91:dataelement:5:1;Positive Familienanamnese für Diabetes mellitus;de;Positive Familienanamnese für Diabetes mellitus;Positive Familienanamnese für Diabetes mellitus;
5;1;urn:osse-91:dataelement:5:1;Positive Familienanamnese für Gichterkrankung;de;Positive Familienanamnese für Gichterkrankung;Positive Familienanamnese für Gichterkrankung;
6;1;urn:osse-91:dataelement:6:1;Mentale Retardierung;de;Mentale Retardierung;Mentale Retardierung;
6;1;urn:osse-91:dataelement:6:1;Postaxiale Hexadaktylie;de;Postaxiale Hexadaktylie;Postaxiale Hexadaktylie;
6;1;urn:osse-91:dataelement:6:1;Hypogenitalismus;de;Hypogenitalismus;Hypogenitalismus;
6;1;urn:osse-91:dataelement:6:1;Tapetoretinale Degeneration;de;Tapetoretinale Degeneration;Tapetoretinale Degeneration;
6;1;urn:osse-91:dataelement:6:1;Adipositas;de;Adipositas;Adipositas;
14;1;urn:osse-91:dataelement:14:1;fetale Tachypnoe;en;fetal Tachypnoe/Apnoe;fetal Tachypnoe/Apnoe;
14;1;urn:osse-91:dataelement:14:1;mentale Retardierung;en;mental retardation;mental retardation;
14;1;urn:osse-91:dataelement:14:1;Kleinhirnwurmaplasie;en;agenesis of cerebellar vermis (Molar Tooth-Sign);agenesis of cerebellar vermis (Molar Tooth-Sign);
14;1;urn:osse-91:dataelement:14:1;Ataxie;en;ataxia;ataxia;
14;1;urn:osse-91:dataelement:14:1;Nystagmus;en;nystagmus/ rotatoric nystagmus;nystagmus/ rotatoric nystagmus;
14;1;urn:osse-91:dataelement:14:1;Sehnervkolobom;en;coloboma of the optic nerve;coloboma of the optic nerve;
14;1;urn:osse-91:dataelement:14:1;Niereninsuffizienz;en;chronic kidney disease;chronic kidney disease;
14;1;urn:osse-91:dataelement:14:1;Hepatopathie;en;hepatopathy;hepatopathy;
15;1;urn:osse-91:dataelement:15:1;Kongenitale Leber’sche Amaurose;en;Lebers congenital amaurosis;Lebers congenital amaurosis;
15;1;urn:osse-91:dataelement:15:1;Progredienter Visus-Verlust;en;progressive loss of vision;progressive loss of vision;
15;1;urn:osse-91:dataelement:15:1;Retinitis pigmentosa;en;retinitis pigmentosa/ tapetoretinal degeneration;retinitis pigmentosa/ tapetoretinal degeneration;
15;1;urn:osse-91:dataelement:15:1;Gesichtsfeldeinschränkungen;en;restriction of visual field;restriction of visual field;
15;1;urn:osse-91:dataelement:15:1;Störungen des Farbsehens;en;colour vision impairment;colour vision impairment;
15;1;urn:osse-91:dataelement:15:1;Nachtblindheit;en;night vision disturbances;night vision disturbances;
17;1;urn:osse-91:dataelement:17:1;Postaxiale Polydaktylie;en;Postaxial polydactily;Postaxial polydactily;
17;1;urn:osse-91:dataelement:17:1;Kurze Extremitäten;en;short extremities ;short extremities ;
17;1;urn:osse-91:dataelement:17:1;Kleinwuchs;en;short stature;short stature;
17;1;urn:osse-91:dataelement:17:1;Kurze Rippen;en;short ribs;short ribs;
17;1;urn:osse-91:dataelement:17:1;Dysplastische Finger-/Zehennägel;en;dysplastic nails of finger or toes;dysplastic nails of finger or toes;
17;1;urn:osse-91:dataelement:17:1;Spitze Zähne;en;sharp teeth;sharp teeth;
17;1;urn:osse-91:dataelement:17:1;Herzfehler;en;cardial abnormalities;cardial abnormalities;
20;1;urn:osse-91:dataelement:20:1;Thoraxhypoplasie;en;thoracic hypoplasia;thoracic hypoplasia;
20;1;urn:osse-91:dataelement:20:1;Kurze Extremitäten;en;short extremities;short extremities;
20;1;urn:osse-91:dataelement:20:1;Kleinwuchs;en;short stature;short stature;
20;1;urn:osse-91:dataelement:20:1;Zapfenepiphysen;en;cone shaped epiphysis;cone shaped epiphysis;
20;1;urn:osse-91:dataelement:20:1;Retinopathie;en;retinopathy;retinopathy;
20;1;urn:osse-91:dataelement:20:1;Niereninsuffizienz;en;chronic kidney disease;chronic kidney disease;
16;1;urn:osse-91:dataelement:16:1;Okulomotorische Apraxie;en;oculomotoric apraxia;oculomotoric apraxia;
16;1;urn:osse-91:dataelement:16:1;Eingeschränkte Augenfolgebewegungen;en;disturbance of oculomotor smooth pursuit;disturbance of oculomotor smooth pursuit;
16;1;urn:osse-91:dataelement:16:1;Ataxie;en;ataxia;ataxia;
16;1;urn:osse-91:dataelement:16:1;Jaktationen des Kopfes;en;Jactatio capitis;Jactatio capitis;
16;1;urn:osse-91:dataelement:16:1;Muskulärer Hypotonie;en;muscular hypotonia;muscular hypotonia;
16;1;urn:osse-91:dataelement:16:1;Entwicklungsverzögerung;en;developmental delay;developmental delay;
