Form;form_id;form_type;record_urn;record_designation;record_mandatory;record_repeatable;dataelement_urn;dataelement_designation;dataelement_definition;dataelement_mandatory;dataelement_repeatable;data_type;data_format;unit;source_id;slots
Screen data;222:8;Basic;;;;;urn:osse-11:dataelement:42:1;Center;Name of the participating center;true;false;STRING;;;X_222_0_42;
Screen data;222:8;Basic;;;;;urn:osse-11:dataelement:43:2;Patient ID;Patient's identification number of ACLF-I (should be the same as the sample ID);true;false;STRING;;;X_222_0_43;
Screen data;222:8;Basic;;;;;urn:osse-11:dataelement:46:1;Inclusion criteria;Inclusion criteria;true;false;enumerated;enumerated;;X_222_0_46;SELECT_MANY_CHECKBOX
Screen data;222:8;Basic;;;;;urn:osse-11:dataelement:45:1;Exclusion criteria;Exclusion criteria;false;false;enumerated;enumerated;;X_222_0_45;SELECT_MANY_CHECKBOX
Screen data;222:8;Basic;;;;;urn:osse-11:dataelement:345:1;Responsible Doctor;Name of the Doctor or investigator responsible for inclusion;true;false;STRING;;;X_222_0_345;
Screen data;222:8;Basic;;;;;urn:osse-11:dataelement:47:1;Informed consent signed:;Informed consent signed:;true;false;enumerated;enumerated;;X_222_0_47;SELECT_ONE_RADIO
Screen data;222:8;Basic;;;;;urn:osse-11:dataelement:48:1;Date of informed consent signature:;Date of informed consent signature:;true;false;DATE;DD.MM.YYYY;;X_222_0_48;
Screen data;222:8;Basic;;;;;urn:osse-11:dataelement:49:2;Informed consent permission granted:;Informed consent permission granted:;false;false;enumerated;enumerated;;X_222_0_49;SELECT_MANY_CHECKBOX
Screen data;222:8;Basic;;;;;urn:osse-11:dataelement:50:1;If Informed consent is signed by surrogate:;- Research study under prior surrogate consent;false;false;enumerated;enumerated;;X_222_0_50;SELECT_ONE_RADIO
Screen data;222:8;Basic;;;;;urn:osse-11:dataelement:52:2;If by surrogate: Informed consent permission granted:;If by surrogate: Informed consent permission granted:;false;false;enumerated;enumerated;;X_222_0_52;SELECT_MANY_CHECKBOX
