form_key,form_id,form_version,form_label,type,record_urn,dataelement_urn,source_id,mandatory,repeatable,position,resolution_status
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:232:1,X_230_0_232,True,False,0,direct_resolved
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:233:1,X_230_0_233,True,False,1,direct_resolved
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:349:1,X_230_0_349,False,False,2,direct_resolved
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:350:1,X_230_0_350,False,False,3,direct_resolved
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:236:1,X_230_0_236,False,False,4,direct_resolved
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:237:1,X_230_0_237,False,False,5,direct_resolved
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:67:1,X_230_0_67,False,False,6,direct_resolved
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:68:1,X_230_0_68,False,False,7,direct_resolved
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:69:1,X_230_0_69,False,False,8,direct_resolved
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:238:1,X_230_0_238,False,False,9,direct_resolved
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:239:1,X_230_0_239,False,False,10,direct_resolved
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:240:1,X_230_0_240,False,False,11,direct_resolved
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:73:1,X_230_0_73,False,False,12,direct_resolved
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:74:1,X_230_0_74,False,False,13,direct_resolved
230_9_Physical examination,230,9,Physical examination,dataelement,,urn:osse-11:dataelement:75:1,X_230_0_75,False,False,14,direct_resolved
