form_key,form_id,form_version,form_label,type,record_urn,dataelement_urn,source_id,mandatory,repeatable,position,resolution_status
222_1_Screen visit,222,1,Screen visit,dataelement,,urn:osse-11:dataelement:43:1,,True,False,2,direct_unresolved
222_2_Screen visit,222,2,Screen visit,dataelement,,urn:osse-11:dataelement:43:1,,True,False,2,direct_unresolved
223_1_Biobank sample collection,223,1,Biobank sample collection,dataelement,,urn:osse-11:dataelement:8:1,,False,False,9,direct_unresolved
222_3_Screen data,222,3,Screen data,dataelement,,urn:osse-11:dataelement:43:1,,True,False,2,direct_unresolved
222_3_Screen data,222,3,Screen data,dataelement,,urn:osse-11:dataelement:51:1,,True,False,7,direct_unresolved
222_3_Screen data,222,3,Screen data,dataelement,,urn:osse-11:dataelement:49:1,,True,False,8,direct_unresolved
222_3_Screen data,222,3,Screen data,dataelement,,urn:osse-11:dataelement:52:1,,False,False,10,direct_unresolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:234:1,,True,False,3,direct_unresolved
230_1_Physical examination,230,1,Physical examination,dataelement,,urn:osse-11:dataelement:235:1,,True,False,4,direct_unresolved
231_1_LABORATORY 1,231,1,LABORATORY 1,dataelement,,urn:osse-11:dataelement:243:1,,False,False,5,direct_unresolved
231_1_LABORATORY 1,231,1,LABORATORY 1,dataelement,,urn:osse-11:dataelement:257:1,,False,False,19,direct_unresolved
231_1_LABORATORY 1,231,1,LABORATORY 1,dataelement,,urn:osse-11:dataelement:259:1,,False,False,22,direct_unresolved
231_1_LABORATORY 1,231,1,LABORATORY 1,dataelement,,urn:osse-11:dataelement:261:1,,False,False,24,direct_unresolved
231_2_LABORATORY 1,231,2,LABORATORY 1,dataelement,,urn:osse-11:dataelement:243:1,,False,False,5,direct_unresolved
231_2_LABORATORY 1,231,2,LABORATORY 1,dataelement,,urn:osse-11:dataelement:257:1,,False,False,19,direct_unresolved
231_2_LABORATORY 1,231,2,LABORATORY 1,dataelement,,urn:osse-11:dataelement:259:1,,False,False,22,direct_unresolved
231_2_LABORATORY 1,231,2,LABORATORY 1,dataelement,,urn:osse-11:dataelement:261:1,,False,False,24,direct_unresolved
231_3_Laboratory data 1,231,3,Laboratory data 1,dataelement,,urn:osse-11:dataelement:243:1,,False,False,5,direct_unresolved
231_3_Laboratory data 1,231,3,Laboratory data 1,dataelement,,urn:osse-11:dataelement:257:1,,False,False,19,direct_unresolved
231_3_Laboratory data 1,231,3,Laboratory data 1,dataelement,,urn:osse-11:dataelement:259:1,,False,False,22,direct_unresolved
