form_key;form_id;form_version;form_label;urn;type;element_label;mandatory;repeatable;position
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:232:1;dataelement;Physical examination date;True;False;0
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:233:1;dataelement;Race;True;False;1
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:349:1;dataelement;Weight (Kg);False;False;2
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:350:1;dataelement;Height (cm);False;False;3
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:236:1;dataelement;BMI;False;False;4
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:237:1;dataelement;Flapping tremor;False;False;5
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:67:1;dataelement;Systolic Blood Pressure;False;False;6
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:68:1;dataelement;Diastolic Blood Pressure;False;False;7
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:69:1;dataelement;Mean Arterial Pressure ;False;False;8
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:238:1;dataelement;Heart rate;False;False;9
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:239:1;dataelement;Temperature;False;False;10
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:240:1;dataelement;Respiratory rate;False;False;11
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:73:1;dataelement;SpO2;False;False;12
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:74:1;dataelement;Supplemental oxygen (including mechanical ventilation);False;False;13
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:75:1;dataelement;FiO2;False;False;14
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:76:1;dataelement;If Supplemental oxygen is yes;False;False;15
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:77:1;dataelement;If Delivery Device-Type of Delivery device;False;False;16
230_9_Physical examination;230;9;Physical examination;urn:osse-11:dataelement:78:1;dataelement;If “Nasal catheter”- Flow (liters of O2/min):;False;False;17
