source_id;general_expected_n;general_filled_n;general_completeness_percent;core_expected_n;core_filled_n;core_completeness_percent
X_231_0_258;417;0;0.0;417;0;0.0
X_230_0_82;416;0;0.0;0;0;
X_233_0_196;412;0;0.0;412;0;0.0
X_233_0_353;410;0;0.0;0;0;
X_223_9_34;376;0;0.0;0;0;
X_223_9_36;376;0;0.0;0;0;
X_224_20_82;261;0;0.0;0;0;
X_227_0_196;248;0;0.0;248;0;0.0
X_234_0_308;191;0;0.0;0;0;
X_234_0_309;191;0;0.0;0;0;
X_234_0_310;191;0;0.0;0;0;
X_234_0_311;191;0;0.0;0;0;
X_234_0_313;191;0;0.0;0;0;
X_234_0_314;191;0;0.0;0;0;
X_234_0_315;191;0;0.0;0;0;
X_228_47_201;417;1;0.24;417;1;0.24
X_230_0_81;416;1;0.24;0;0;
X_233_0_294;412;1;0.24;412;1;0.24
X_223_9_35;376;1;0.27;0;0;
X_223_9_37;376;1;0.27;0;0;
X_222_0_45;265;1;0.38;0;0;
X_224_20_81;261;1;0.38;0;0;
X_233_0_195;412;2;0.49;412;2;0.49
X_233_0_293;412;2;0.49;0;0;
X_234_0_306;191;1;0.52;0;0;
X_234_0_307;191;1;0.52;0;0;
X_234_0_312;191;1;0.52;0;0;
X_234_0_316;191;1;0.52;0;0;
X_234_0_317;191;1;0.52;0;0;
X_234_0_318;191;1;0.52;0;0;
X_234_0_319;191;1;0.52;0;0;
X_234_0_369;189;1;0.53;0;0;
X_234_0_370;189;1;0.53;0;0;
X_234_0_371;189;1;0.53;0;0;
X_234_0_372;189;1;0.53;0;0;
X_234_0_373;189;1;0.53;0;0;
X_229_0_222;416;3;0.72;416;3;0.72
X_224_20_80;261;2;0.77;0;0;
X_224_20_83;261;2;0.77;0;0;
X_227_0_195;248;2;0.81;248;2;0.81
X_230_0_80;416;4;0.96;0;0;
X_230_0_83;416;4;0.96;0;0;
X_223_8_29;376;4;1.06;0;0;
X_229_0_227;416;5;1.2;416;5;1.2
X_234_0_305;191;3;1.57;0;0;
X_228_47_200;417;7;1.68;417;7;1.68
X_233_0_295;412;8;1.94;412;8;1.94
X_230_0_84;416;9;2.16;416;9;2.16
X_235_0_324;402;9;2.24;0;0;
X_222_0_52;265;6;2.26;0;0;
X_225_22_103;261;6;2.3;261;6;2.3
X_233_40_177;412;10;2.43;412;10;2.43
X_231_0_246;417;11;2.64;417;11;2.64
X_230_0_85;416;11;2.64;416;11;2.64
X_224_20_84;261;7;2.68;261;7;2.68
X_224_20_85;261;7;2.68;261;7;2.68
X_227_42_182;248;7;2.82;248;7;2.82
X_231_0_255;417;12;2.88;417;12;2.88
X_235_59_325;402;12;2.99;0;0;
X_233_42_182;412;13;3.16;412;13;3.16
X_227_40_177;248;8;3.23;248;8;3.23
X_229_51_214;416;14;3.37;0;0;
X_224_20_78;261;11;4.21;0;0;
X_236_0_344;412;18;4.37;412;18;4.37
X_226_0_137;257;13;5.06;257;13;5.06
X_236_0_342;412;22;5.34;412;22;5.34
X_234_0_302;191;11;5.76;0;0;
X_230_0_78;416;24;5.77;0;0;
X_234_0_298;191;12;6.28;0;0;
X_224_20_77;261;17;6.51;0;0;
X_230_0_79;823;54;6.56;823;54;6.56
X_229_53_134;416;28;6.73;416;28;6.73
X_233_0_364;408;28;6.86;408;28;6.86
X_223_9_33;376;27;7.18;0;0;
X_230_0_77;416;32;7.69;0;0;
X_226_30_134;257;20;7.78;257;20;7.78
X_231_0_252;417;35;8.39;417;35;8.39
X_235_60_252;402;35;8.71;0;0;
X_224_20_76;261;23;8.81;261;23;8.81
X_235_69_254;402;37;9.2;0;0;
X_223_7_30;376;35;9.31;0;0;
X_229_53_135;416;39;9.38;416;39;9.38
X_223_9_29;376;36;9.57;0;0;
X_235_59_254;402;40;9.95;0;0;
X_231_0_254;417;42;10.07;417;42;10.07
X_234_0_303;191;20;10.47;0;0;
X_226_30_135;257;27;10.51;257;27;10.51
X_231_0_250;417;44;10.55;417;44;10.55
X_230_0_76;416;44;10.58;0;0;
X_224_20_79;261;28;10.73;261;28;10.73
X_224_20_87;261;28;10.73;261;28;10.73
X_229_51_211;416;47;11.3;0;0;
X_231_0_248;417;48;11.51;417;48;11.51
X_229_51_212;416;50;12.02;0;0;
X_225_22_100;261;33;12.64;261;33;12.64
X_231_0_271;417;54;12.95;417;54;12.95
X_231_0_270;417;55;13.19;417;55;13.19
X_231_0_272;417;58;13.91;417;58;13.91
X_222_0_50;265;37;13.96;0;0;
X_231_0_269;417;59;14.15;417;59;14.15
X_228_0_355;415;61;14.7;415;61;14.7
X_224_20_72;261;39;14.94;261;39;14.94
X_234_0_301;191;29;15.18;0;0;
X_231_0_251;417;65;15.59;417;65;15.59
X_231_0_249;417;67;16.07;417;67;16.07
X_225_22_97;261;42;16.09;261;42;16.09
X_231_0_247;417;68;16.31;417;68;16.31
X_236_0_339;412;73;17.72;412;73;17.72
X_228_0_111;415;78;18.8;415;78;18.8
X_235_66_282;402;77;19.15;0;0;
X_236_0_341;412;80;19.42;412;80;19.42
X_235_60_283;402;82;20.4;0;0;
X_232_0_281;415;87;20.96;415;87;20.96
X_232_0_282;415;87;20.96;415;87;20.96
X_232_0_283;415;87;20.96;415;87;20.96
X_232_0_356;412;87;21.12;412;87;21.12
X_232_0_289;419;92;21.96;419;92;21.96
X_232_0_280;415;92;22.17;415;92;22.17
X_225_0_346;260;61;23.46;260;61;23.46
X_226_0_355;255;67;26.27;0;0;
X_236_0_340;412;110;26.7;412;110;26.7
X_233_0_296;412;119;28.88;412;119;28.88
X_223_7_29;376;111;29.52;0;0;
X_226_0_111;255;76;29.8;0;0;
X_231_0_278;417;125;29.98;417;125;29.98
X_233_0_361;408;129;31.62;0;0;
X_225_23_107;261;84;32.18;261;84;32.18
X_233_0_362;408;133;32.6;0;0;
X_232_0_359;404;132;32.67;404;132;32.67
X_232_0_358;404;133;32.92;404;133;32.92
X_232_0_286;415;147;35.42;415;147;35.42
X_232_0_287;415;147;35.42;415;147;35.42
X_232_0_288;415;147;35.42;415;147;35.42
X_233_0_360;408;185;45.34;0;0;
X_225_21_96;261;122;46.74;0;0;
X_228_47_202;417;195;46.76;417;195;46.76
X_225_21_95;261;123;47.13;0;0;
X_225_21_94;261;127;48.66;0;0;
X_233_0_363;408;202;49.51;408;202;49.51
X_235_0_322;402;203;50.5;0;0;
X_228_47_199;417;221;53.0;417;221;53.0
X_224_20_86;261;139;53.26;261;139;53.26
X_231_0_275;417;223;53.48;417;223;53.48
X_228_0_346;417;250;59.95;417;250;59.95
X_225_23_106;261;157;60.15;261;157;60.15
X_224_0_245;260;179;68.85;0;0;
X_224_0_266;260;180;69.23;0;0;
X_224_0_88;261;182;69.73;0;0;
X_235_69_347;402;282;70.15;0;0;
X_231_0_347;416;296;71.15;416;296;71.15
X_224_0_91;261;189;72.41;0;0;
X_231_0_260;417;307;73.62;417;307;73.62
X_231_0_268;417;307;73.62;417;307;73.62
X_235_0_88;402;298;74.13;0;0;
X_226_28_125;257;192;74.71;257;192;74.71
X_235_66_335;402;303;75.37;0;0;
X_235_66_73;402;308;76.62;0;0;
X_225_22_98;261;200;76.63;261;200;76.63
X_226_29_129;257;200;77.82;257;200;77.82
X_226_27_123;257;202;78.6;257;202;78.6
X_231_0_262;417;332;79.62;417;332;79.62
X_223_2_19;376;303;80.59;0;0;
X_223_2_14;376;307;81.65;0;0;
X_235_0_329;402;334;83.08;0;0;
