form_id;form_label;general_expected_n;general_filled_n;general_completeness_percent;core_expected_n;core_filled_n;core_completeness_percent;n_patients
234;Electrocardiogram and Echocardiography;5147;632;12.28;0;0;;134
232;Laboratory data 2;4959;1653;33.33;4959;1653;33.33;259
236;Status;2884;1127;39.08;2884;1127;39.08;259
223;Biobank sample collection;5640;2316;41.06;0;0;;243
230;Physical examination;10795;6174;57.19;7883;6065;76.94;260
231;Laboratory data 1;15425;8990;58.28;15425;8990;58.28;261
225;Patient’s information and Medical history;4697;2947;62.74;3653;2358;64.55;261
224;ACLF evaluation;9915;6313;63.67;6525;4803;73.61;261
228;Data at visit;6252;4091;65.44;6247;4086;65.41;261
222;Screen data;2650;1895;71.51;265;265;100.0;265
229;Clinical features;12896;9861;76.47;9152;7378;80.62;260
233;Treatment;28406;22729;80.01;13176;9566;72.6;258
226;Previous clinical course;8218;6700;81.53;7453;6314;84.72;257
235;Scores;23718;19973;84.21;0;0;;255
227;Previous treatments;14880;13307;89.43;14880;13307;89.43;248
