form_id;form_version;general_expected_n;general_filled_n;general_completeness_percent;core_expected_n;core_filled_n;core_completeness_percent;n_patients
232;5;48;4;8.33;48;4;8.33;4
234;4;5103;622;12.19;0;0;;134
232;1;63;11;17.46;63;11;17.46;6
234;1;22;5;22.73;0;0;;1
234;3;22;5;22.73;0;0;;1
232;6;4848;1638;33.79;4848;1638;33.79;256
231;4;34;13;38.24;34;13;38.24;1
236;1;2884;1127;39.08;2884;1127;39.08;259
223;2;5610;2301;41.02;0;0;;243
223;1;30;15;50.0;0;0;;2
230;3;23;12;52.17;16;12;75.0;1
230;1;23;13;56.52;16;13;81.25;1
230;2;23;13;56.52;16;13;81.25;1
230;8;10582;6052;57.19;7733;5943;76.85;256
231;11;15355;8955;58.32;15355;8955;58.32;259
230;4;144;84;58.33;102;84;82.35;4
224;3;35;21;60.0;25;18;72.0;1
231;6;36;22;61.11;36;22;61.11;1
225;2;4680;2935;62.71;3640;2348;64.51;260
224;4;9880;6292;63.68;6500;4785;73.62;260
228;9;80;52;65.0;75;47;62.67;5
228;7;6150;4023;65.41;6150;4023;65.41;255
225;1;17;12;70.59;13;10;76.92;1
222;8;2650;1895;71.51;265;265;100.0;265
228;4;22;16;72.73;22;16;72.73;2
229;3;12896;9861;76.47;9152;7378;80.62;260
233;10;28152;22510;79.96;13056;9474;72.56;255
226;11;8160;6648;81.47;7395;6262;84.68;255
235;7;23718;19973;84.21;0;0;;255
233;3;63;54;85.71;30;23;76.67;1
233;9;128;110;85.94;60;46;76.67;2
233;7;63;55;87.3;30;23;76.67;1
227;3;14820;13249;89.4;14820;13249;89.4;247
226;3;29;26;89.66;29;26;89.66;1
226;6;29;26;89.66;29;26;89.66;1
227;2;60;58;96.67;60;58;96.67;1
