form_id,denominator_n,numerator_n,n_patients,metric,completeness_percent
234,13791,632,134,Completeness per form,4.58
232,10780,1653,259,Completeness per form,15.33
236,5935,1141,259,Completeness per form,19.22
223,12083,2683,243,Completeness per form,22.2
231,26645,8990,261,Completeness per form,33.74
230,18244,6178,260,Completeness per form,33.86
228,10303,4363,261,Completeness per form,42.35
229,20221,11471,260,Completeness per form,56.73
233,37745,23450,258,Completeness per form,62.13
224,9919,6317,261,Completeness per form,63.69
225,5006,3256,261,Completeness per form,65.04
235,30356,19973,255,Completeness per form,65.8
222,3360,2605,265,Completeness per form,77.53
226,8284,6766,257,Completeness per form,81.68
227,15353,13761,248,Completeness per form,89.63
