form_id,form_version,denominator_n,numerator_n,n_patients,metric,completeness_percent
232,5,114,4,4,Completeness per form version,3.51
234,4,13713,622,134,Completeness per form version,4.54
232,1,147,11,6,Completeness per form version,7.48
234,1,39,5,1,Completeness per form version,12.82
234,3,39,5,1,Completeness per form version,12.82
231,4,97,13,1,Completeness per form version,13.4
232,6,10519,1638,256,Completeness per form version,15.57
236,1,5935,1141,259,Completeness per form version,19.22
223,2,12030,2666,243,Completeness per form version,22.16
230,3,53,12,1,Completeness per form version,22.64
230,2,50,13,1,Completeness per form version,26.0
231,6,78,22,1,Completeness per form version,28.21
228,9,164,52,5,Completeness per form version,31.71
223,1,53,17,2,Completeness per form version,32.08
231,11,26470,8955,259,Completeness per form version,33.83
230,8,17875,6056,256,Completeness per form version,33.88
230,4,234,84,4,Completeness per form version,35.9
230,1,32,13,1,Completeness per form version,40.62
228,7,10106,4294,255,Completeness per form version,42.49
228,4,33,17,2,Completeness per form version,51.52
229,3,20221,11471,260,Completeness per form version,56.73
224,3,35,21,1,Completeness per form version,60.0
233,10,37414,23225,255,Completeness per form version,62.08
233,3,89,56,1,Completeness per form version,62.92
224,4,9884,6296,260,Completeness per form version,63.7
225,2,4988,3243,260,Completeness per form version,65.02
235,7,30356,19973,255,Completeness per form version,65.8
233,7,86,57,1,Completeness per form version,66.28
233,9,156,112,2,Completeness per form version,71.79
225,1,18,13,1,Completeness per form version,72.22
222,8,3360,2605,265,Completeness per form version,77.53
226,11,8226,6714,255,Completeness per form version,81.62
227,3,15292,13702,247,Completeness per form version,89.6
226,3,29,26,1,Completeness per form version,89.66
226,6,29,26,1,Completeness per form version,89.66
227,2,61,59,1,Completeness per form version,96.72
