source_id,dataelement_urn,denominator_n,numerator_n,metric,completeness_percent
X_231_0_258,urn:osse-11:dataelement:258:1,1158,0,Least complete elements,0.0
X_223_9_34,urn:osse-11:dataelement:34:1,1058,0,Least complete elements,0.0
X_223_9_36,urn:osse-11:dataelement:36:1,1058,0,Least complete elements,0.0
X_234_0_308,urn:osse-11:dataelement:308:1,555,0,Least complete elements,0.0
X_234_0_309,urn:osse-11:dataelement:309:1,555,0,Least complete elements,0.0
X_234_0_310,urn:osse-11:dataelement:310:1,555,0,Least complete elements,0.0
X_234_0_311,urn:osse-11:dataelement:311:1,555,0,Least complete elements,0.0
X_234_0_313,urn:osse-11:dataelement:313:1,555,0,Least complete elements,0.0
X_234_0_314,urn:osse-11:dataelement:314:1,555,0,Least complete elements,0.0
X_234_0_315,urn:osse-11:dataelement:315:1,555,0,Least complete elements,0.0
X_230_0_82,urn:osse-11:dataelement:82:1,416,0,Least complete elements,0.0
X_233_0_196,urn:osse-11:dataelement:196:1,412,0,Least complete elements,0.0
X_233_0_353,urn:osse-11:dataelement:353:1,410,0,Least complete elements,0.0
X_224_20_82,urn:osse-11:dataelement:82:1,261,0,Least complete elements,0.0
X_227_0_196,urn:osse-11:dataelement:196:1,248,0,Least complete elements,0.0
X_228_47_201,urn:osse-11:dataelement:201:1,1155,1,Least complete elements,0.09
X_230_0_81,urn:osse-11:dataelement:81:1,1151,1,Least complete elements,0.09
X_233_0_294,urn:osse-11:dataelement:294:1,1141,1,Least complete elements,0.09
X_223_9_35,urn:osse-11:dataelement:35:1,1058,1,Least complete elements,0.09
X_223_9_37,urn:osse-11:dataelement:37:1,1057,1,Least complete elements,0.09
X_233_0_195,urn:osse-11:dataelement:195:1,1135,2,Least complete elements,0.18
X_234_0_306,urn:osse-11:dataelement:306:1,554,1,Least complete elements,0.18
X_234_0_307,urn:osse-11:dataelement:307:1,554,1,Least complete elements,0.18
X_234_0_312,urn:osse-11:dataelement:312:1,554,1,Least complete elements,0.18
X_234_0_316,urn:osse-11:dataelement:316:1,554,1,Least complete elements,0.18
X_234_0_317,urn:osse-11:dataelement:317:1,554,1,Least complete elements,0.18
X_234_0_318,urn:osse-11:dataelement:318:1,554,1,Least complete elements,0.18
X_234_0_319,urn:osse-11:dataelement:319:1,554,1,Least complete elements,0.18
X_234_0_369,urn:osse-11:dataelement:369:2,550,1,Least complete elements,0.18
X_234_0_370,urn:osse-11:dataelement:370:1,550,1,Least complete elements,0.18
X_234_0_371,urn:osse-11:dataelement:371:1,550,1,Least complete elements,0.18
X_234_0_372,urn:osse-11:dataelement:372:1,550,1,Least complete elements,0.18
X_234_0_373,urn:osse-11:dataelement:373:1,550,1,Least complete elements,0.18
